storetype,id,lat,lon,year
high_end_groc,011100,37.791183,-122.417443,2010
high_end_groc,010700,37.797339,-122.408571,2010
high_end_groc,013400,37.788995,-122.440631,2010
high_end_liq,013500,37.789938,-122.434056,2010
high_end_groc,020600,37.759436,-122.432716,2010
low_end_groc,020200,37.763177,-122.423895,2010
high_end_groc,012302,37.78787,-122.411712,2010
high_end_liq,011000,37.79504,-122.421452,2010
low_end_groc,021000,37.755187,-122.42096,2010
high_end_groc,016400,37.773005,-122.439115,2010
high_end_groc,016400,37.773005,-122.439115,2010
high_end_groc,016400,37.773005,-122.439115,2010
high_end_groc,010500,37.797051,-122.398626,2010
high_end_groc,031100,37.731511,-122.449537,2010
high_end_groc,020300,37.768701,-122.427535,2010
high_end_groc,032902,37.753724,-122.488472,2010
high_end_groc,021700,37.74384600000001,-122.438211,2010
high_end_groc,012602,37.805097,-122.43308,2010
high_end_groc,025300,37.743283,-122.421372,2010
high_end_groc,017700,37.765632,-122.410113,2010
high_end_groc,047901,37.772309,-122.509972,2010
high_end_groc,030400,37.743138,-122.473882,2010
high_end_groc,026004,37.720004,-122.438349,2010
high_end_groc,015900,37.782557,-122.430887,2010
high_end_groc,010100,37.805738,-122.412646,2010
high_end_groc,060700,37.776541,-122.393549,2010
high_end_groc,045200,37.774768,-122.464924,2010
low_end_groc,012401,37.783524,-122.415866,2010
high_end_groc,033100,37.73402100000001,-122.489525,2010
high_end_groc,015700,37.775902,-122.445783,2010
low_end_liq,013000,37.797089,-122.435505,2010
high_end_liq,011902,37.790334,-122.407492,2010
low_end_liq,012800,37.799933,-122.443155,2010
high_end_liq,026002,37.720554,-122.430593,2010
high_end_liq,012301,37.786455,-122.409738,2010
low_end_groc,032601,37.763564,-122.477389,2010
high_end_groc,017700,37.767057,-122.408221,2010
high_end_groc,020900,37.749151,-122.41815,2010
high_end_groc,011200,37.793433,-122.412831,2010
high_end_groc,011901,37.789557,-122.413575,2010
low_end_liq,020200,37.769492,-122.42234,2010
groc,023200,37.733319,-122.39113799999998,2010
low_end_groc,016900,37.765733,-122.433289,2010
low_end_groc,017700,37.769158,-122.415646,2010
high_end_groc,025500,37.726857,-122.441515,2010
low_end_liq,022600,37.757918,-122.388868,2010
low_end_liq,017601,37.781242,-122.40906,2010
high_end_groc,021500,37.74560200000001,-122.426844,2010
high_end_liq,030400,37.74335900000001,-122.468651,2010
high_end_groc,021500,37.745164,-122.426801,2010
low_end_groc,025500,37.728906,-122.440084,2010
high_end_liq,020300,37.767731,-122.428533,2010
low_end_liq,016400,37.776351,-122.439797,2010
high_end_liq,022801,37.759197,-122.409774,2010
high_end_liq,030202,37.761971,-122.465092,2010
low_end_liq,012700,37.800189,-122.44119,2010
high_end_groc,010400,37.803036,-122.409716,2010
low_end_groc,017601,37.780283,-122.40786,2010
low_end_liq,012800,37.798545,-122.445965,2010
groc,023200,37.726197,-122.386615,2010
low_end_liq,061500,37.783509,-122.389986,2010
high_end_groc,061500,37.791336,-122.392471,2010
high_end_groc,010500,37.803625,-122.403278,2010
low_end_liq,012501,37.783251,-122.410532,2010
high_end_groc,047701,37.780119,-122.485538,2010
high_end_groc,061400,37.754549,-122.402079,2010
low_end_liq,010600,37.798087,-122.404909,2010
high_end_groc,045200,37.775028000000006,-122.468151,2010
high_end_liq,012402,37.781471,-122.420616,2010
high_end_liq,017802,37.773939,-122.411816,2010
high_end_liq,012100,37.788995,-122.410505,2010
high_end_groc,031202,37.716231,-122.450347,2010
low_end_groc,012502,37.783934,-122.412611,2010
low_end_groc,022901,37.751049,-122.413944,2010
high_end_groc,047600,37.780393,-122.476538,2010
high_end_groc,016200,37.776543,-122.425618,2010
high_end_liq,061500,37.786984,-122.394074,2010
high_end_liq,026404,37.71183900000001,-122.415774,2010
low_end_liq,047701,37.780257,-122.4797,2010
low_end_groc,016801,37.771934,-122.431834,2010
high_end_liq,061500,37.7879,-122.401032,2010
high_end_groc,030202,37.764014,-122.466899,2010
low_end_groc,012201,37.786168,-122.417605,2010
low_end_groc,012201,37.786168,-122.417605,2010
groc,020800,37.762873,-122.419471,2010
low_end_groc,035202,37.760436,-122.505913,2010
groc,061400,37.754861,-122.3987,2010
high_end_liq,025200,37.739122,-122.417028,2010
groc,011300,37.793483,-122.407792,2010
low_end_groc,012401,37.782672,-122.415011,2010
low_end_groc,030600,37.744091,-122.453991,2010
