Price,end_date,start_date,Categories,lat,lon,Grocery or Liquor,id,storetype
1.0,2017,1997,Grocery 1.0,37.731859,-122.405354,Grocery,025702,low_end_groc
1.0,2016,1997,Grocery 1.0,37.775529,-122.431155,Grocery,016300,low_end_groc
,2017,2010,Grocery nan,37.784306,-122.409714,Grocery,012501,groc
1.0,2017,1997,Grocery 1.0,37.779538,-122.406928,Grocery,017802,low_end_groc
1.0,2017,1997,Grocery 1.0,37.763532,-122.478204,Grocery,032601,low_end_groc
3.0,2017,2005,Grocery 3.0,37.74505900000001,-122.452481,Grocery,030600,high_end_groc
3.0,2017,2011,Grocery 3.0,37.760809,-122.436422,Grocery,020500,high_end_groc
2.0,2017,1997,Liquor 2.0,37.788857,-122.434245,Liquor,013500,high_end_liq
1.0,2017,2010,Grocery 1.0,37.782997,-122.46358,Grocery,040100,low_end_groc
2.0,2017,2009,Grocery 2.0,37.782675,-122.422538,Grocery,016000,high_end_groc
1.0,2017,1997,Grocery 1.0,37.763277,-122.483849,Grocery,032601,low_end_groc
1.0,2014,2010,Grocery 1.0,37.785199,-122.417686,Grocery,012201,low_end_groc
2.0,2017,1997,Liquor 2.0,37.751565,-122.406259,Liquor,022903,high_end_liq
1.0,2017,1998,Liquor 1.0,37.714255,-122.469395,Liquor,031302,low_end_liq
1.0,2016,2010,Grocery 1.0,37.792038,-122.415924,Grocery,011100,low_end_groc
2.0,2017,2009,Liquor 2.0,37.785996,-122.411412,Liquor,012302,high_end_liq
1.0,2017,1997,Grocery 1.0,37.798299,-122.408763,Grocery,010700,low_end_groc
2.0,2017,2003,Liquor 2.0,37.721561,-122.437166,Liquor,026004,high_end_liq
2.0,2010,2004,Grocery 2.0,37.720813,-122.435576,Grocery,026004,high_end_groc
1.0,2017,1998,Liquor 1.0,37.789622,-122.407011,Liquor,011700,low_end_liq
1.0,2013,2009,Grocery 1.0,37.796806,-122.407678,Grocery,010700,low_end_groc
1.0,2017,1998,Grocery 1.0,37.79413,-122.407926,Grocery,011300,low_end_groc
1.0,2017,1997,Liquor 1.0,37.742431,-122.489792,Liquor,032901,low_end_liq
1.0,2017,2010,Grocery 1.0,37.7943,-122.406032,Grocery,061100,low_end_groc
1.0,2017,2010,Grocery 1.0,37.787786,-122.41989,Grocery,012000,low_end_groc
,2017,1998,Grocery nan,37.798495,-122.409504,Grocery,010700,groc
,2014,1998,Grocery nan,37.796405,-122.408387,Grocery,011300,groc
2.0,2017,2011,Grocery 2.0,37.746734,-122.413534,Grocery,025200,high_end_groc
2.0,2015,2013,Grocery 2.0,37.7389,-122.414467,Grocery,025200,high_end_groc
,2017,2010,Grocery nan,37.79531,-122.409838,Grocery,011300,groc
1.0,2017,2009,Grocery 1.0,37.725542,-122.434162,Grocery,025500,low_end_groc
2.0,2017,2010,Liquor 2.0,37.735633,-122.390493,Liquor,061200,high_end_liq
2.0,2017,2011,Grocery 2.0,37.782764,-122.393242,Grocery,061500,high_end_groc
1.0,2017,2010,Grocery 1.0,37.785855,-122.419735,Grocery,012202,low_end_groc
2.0,2012,2010,Liquor 2.0,37.709547,-122.45051,Liquor,026200,high_end_liq
1.0,2017,2010,Liquor 1.0,37.71262,-122.444755,Liquor,026200,low_end_liq
2.0,2017,2010,Grocery 2.0,37.774413,-122.427359,Grocery,016300,high_end_groc
1.0,2017,1998,Liquor 1.0,37.735472,-122.501747,Liquor,035400,low_end_liq
2.0,2017,1998,Grocery 2.0,37.769917,-122.447559,Grocery,016600,high_end_groc
4.0,2017,1998,Liquor 4.0,37.738221,-122.500629,Liquor,035300,high_end_liq
2.0,2017,2010,Liquor 2.0,37.753001,-122.504593,Liquor,035201,high_end_liq
,2017,2010,Grocery nan,37.781901,-122.409882,Grocery,017601,groc
2.0,2017,2010,Grocery 2.0,37.789191,-122.422175,Grocery,011100,high_end_groc
3.0,2017,1998,Liquor 3.0,37.789497,-122.406359,Liquor,011700,high_end_liq
1.0,2017,2010,Grocery 1.0,37.759966,-122.397425,Grocery,022702,low_end_groc
1.0,2017,1998,Grocery 1.0,37.765075,-122.41913999999998,Grocery,020100,low_end_groc
1.0,2017,1999,Grocery 1.0,37.798542,-122.410526,Grocery,010700,low_end_groc
2.0,2017,2010,Grocery 2.0,37.771248,-122.437211,Grocery,016700,high_end_groc
3.0,2017,2010,Liquor 3.0,37.757813,-122.390199,Liquor,022600,high_end_liq
1.0,2017,1999,Grocery 1.0,37.763429,-122.480548,Grocery,032601,low_end_groc
1.0,2017,1999,Grocery 1.0,37.756368,-122.418836,Grocery,020800,low_end_groc
1.0,2017,1999,Grocery 1.0,37.797411,-122.408584,Grocery,010700,low_end_groc
3.0,2017,1999,Grocery 3.0,37.752108,-122.420662,Grocery,020900,high_end_groc
,2017,2011,Grocery nan,38.653517,-121.487746,Grocery,07019,groc
1.0,2012,2011,Grocery 1.0,37.756017,-122.4067,Grocery,022802,low_end_groc
1.0,2017,2012,Grocery 1.0,37.756017,-122.4067,Grocery,022802,low_end_groc
2.0,2017,2000,Liquor 2.0,37.783419,-122.407362,Liquor,017601,high_end_liq
2.0,2017,2011,Grocery 2.0,37.785685,-122.436594,Grocery,015300,high_end_groc
2.0,2017,2011,Liquor 2.0,37.790043,-122.417212,Liquor,011100,high_end_liq
1.0,2017,2011,Grocery 1.0,37.796726,-122.408451,Grocery,010700,low_end_groc
4.0,2017,2004,Grocery 4.0,37.798534,-122.409179,Grocery,010700,high_end_groc
,2017,2012,Liquor nan,37.740583,-122.402003,Liquor,980900,liq
2.0,2017,1999,Grocery 2.0,37.797849,-122.445828,Grocery,012800,high_end_groc
,2012,2011,Grocery nan,37.796726,-122.408451,Grocery,010700,groc
2.0,2017,2011,Grocery 2.0,37.763468,-122.419532,Grocery,020100,high_end_groc
1.0,2017,2012,Grocery 1.0,37.784784,-122.443474,Grocery,015400,low_end_groc
1.0,2017,1999,Grocery 1.0,37.800425,-122.407551,Grocery,010600,low_end_groc
1.0,2017,2011,Grocery 1.0,37.790339,-122.420643,Grocery,011100,low_end_groc
2.0,2017,2011,Liquor 2.0,37.759281,-122.435047,Liquor,020500,high_end_liq
1.0,2017,2000,Liquor 1.0,37.732316,-122.406009,Liquor,025701,low_end_liq
