year,id,mhi,mgr,groc,high_end_groc,liq,low_end_groc
2010,015802,92464.30777,1747.161873,0.0,2.0,0.0,1.0
2010,015900,73717.27223999999,1578.925076,1.0,2.0,0.0,2.0
2010,016000,83147.62676,1387.9535759999999,0.0,1.0,0.0,0.0
2010,016100,47499.61354,611.5634922,0.0,0.0,0.0,1.0
2010,016200,69222.6216,1316.339264,0.0,1.0,1.0,1.0
2010,016300,100491.9312,1332.253555,0.0,1.0,0.0,3.0
2010,016400,113392.73800000001,1715.3332890000001,0.0,4.0,2.0,0.0
2010,016500,121005.4531,1622.12101,0.0,0.0,0.0,0.0
2010,016600,113271.1073,1829.0068010000002,0.0,1.0,2.0,0.0
2010,016700,121838.6799,1723.2904350000001,0.0,1.0,0.0,2.0
2010,016801,120842.8999,1601.659778,0.0,1.0,0.0,1.0
2010,016802,113998.6178,1422.05563,0.0,1.0,0.0,0.0
2010,016900,119508.3729,1721.0169649999998,0.0,2.0,0.0,2.0
2010,017000,156116.9273,1829.0068010000002,0.0,0.0,0.0,0.0
2010,017101,171593.5759,1790.357807,0.0,0.0,0.0,0.0
2010,017102,158414.269,1957.457869,0.0,0.0,1.0,1.0
2010,017601,53136.68298,866.1921581,2.0,2.0,3.0,2.0
2010,017700,103374.6914,1436.8331859999994,0.0,3.0,0.0,1.0
2010,017801,82250.74276000001,341.0205347,0.0,1.0,0.0,0.0
2010,017802,127670.131,1576.651605,0.0,1.0,2.0,1.0
2010,017902,71939.41852,2000.0,0.0,0.0,0.0,0.0
2010,018000,147333.3751,2000.0,0.0,2.0,1.0,0.0
2010,020100,68257.53348,994.6432261,0.0,1.0,0.0,4.0
2010,020200,89381.48214,1304.971913,1.0,2.0,1.0,4.0
2010,020300,130087.9666,1860.835384,0.0,4.0,1.0,0.0
2010,020401,148644.0307,2000.0,0.0,0.0,0.0,0.0
2010,020402,131100.7976,1742.614932,0.0,0.0,0.0,0.0
2010,020500,133700.5108,1581.198546,0.0,1.0,0.0,0.0
2010,020600,168702.8585,1838.100682,0.0,2.0,2.0,0.0
2010,020700,138796.4943,1696.008792,0.0,0.0,0.0,2.0
2010,020800,88189.04699999998,1150.375937,1.0,0.0,0.0,3.0
2010,020900,80928.71982,1094.675916,0.0,3.0,0.0,4.0
2010,021000,135801.1973,1613.0271289999994,0.0,0.0,0.0,2.0
2010,021100,191130.6423,1854.014973,0.0,0.0,0.0,0.0
2010,021200,204283.8044,1840.3741519999999,0.0,0.0,0.0,0.0
2010,021300,198787.6901,1902.8945829999998,0.0,1.0,0.0,0.0
2010,021400,144808.6864,1923.355816,0.0,1.0,2.0,0.0
2010,021500,144554.0577,1847.1945629999998,0.0,2.0,0.0,0.0
2010,021600,137903.0205,1702.829203,0.0,0.0,0.0,0.0
2010,021700,140106.0132,1433.4229810000006,0.0,1.0,0.0,0.0
2010,021800,150833.3825,2000.0,0.0,2.0,0.0,0.0
2010,022600,189615.3744,2000.0,0.0,0.0,2.0,0.0
2010,022702,193031.2634,2000.0,0.0,2.0,0.0,1.0
