year,id,mhi,mgr
2011,015801,85021.0971,1303.994361
2012,015801,81279.97456,1281.800693
2013,015801,93647.04244,1252.637361
2014,015801,92922.14798,1181.087652
2010,015802,92464.30777,1747.161873
2011,015802,98627.1759,1721.6714
2012,015802,92471.99357,1682.09367
2013,015802,112566.4044,1503.798011
2014,015802,124761.2337,1450.962589
2010,015900,73717.27224,1578.925076
2011,015900,68357.22353,1730.534573
2012,015900,65745.15438,1765.173344
2013,015900,67570.65729,1778.175192
2014,015900,67806.33446,1652.086116
2010,016000,83147.62676,1387.953576
2011,016000,82701.16151,1339.447054
2012,016000,82178.74559,1362.722454
2013,016000,80778.75266,1295.904531
2014,016000,84048.08542,1361.68837
2010,016100,47499.61354,611.5634922
2011,016100,42645.15799,572.7825699
2012,016100,44100.20178,571.8471104
2013,016100,37100.01605,632.122813
2014,016100,41356.53835,623.8933905
2010,016200,69222.6216,1316.339264
2011,016200,68491.27903,1411.460337
2012,016200,72887.84848,1422.065078
2013,016200,82012.39467,1333.895218
2014,016200,91357.28381,1343.217842
2010,016300,100491.9312,1332.253555
2011,016300,97892.64042,1359.389194
2012,016300,102414.5806,1540.750328
2013,016300,124636.8897,1651.53957
2014,016300,147319.9052,1645.929274
2010,016400,113392.738,1715.333289
2011,016400,110285.5724,1750.476713
2012,016400,110369.7292,1751.146906
2013,016400,104523.9871,1687.419663
2014,016400,110101.7913,1819.347009
2010,016500,121005.4531,1622.12101
2011,016500,117922.304,1684.002914
2012,016500,111882.4266,1634.61957
2013,016500,111760.1576,1653.650163
2014,016500,109283.9574,1596.674532
2010,016600,113271.1073,1829.006801
2011,016600,111279.3557,1832.461065
2012,016600,108869.9792,1848.253019
2013,016600,103333.6122,1824.608253
2014,016600,111276.7221,1881.941576
2010,016700,121838.6799,1723.290435
2011,016700,128429.5959,1793.684682
2012,016700,139779.934,1840.700321
2013,016700,149822.6043,1888.981361
2014,016700,152147.896,1876.810874
2010,016801,120842.8999,1601.659778
2011,016801,116575.1017,1742.721436
2012,016801,114840.9262,1826.673883
2013,016801,109215.8369,1863.654237
2014,016801,105388.7282,1730.07279
2010,016802,113998.6178,1422.05563
2011,016802,117271.9687,1520.034209
2012,016802,133511.1949,1420.986121
2013,016802,128741.9945,1453.143762
2014,016802,131221.8139,1312.433629
2010,016900,119508.3729,1721.016965
2011,016900,115477.1761,1633.039668
2012,016900,116436.7033,1754.383776
2013,016900,123904.5137,1725.410349
2014,016900,122790.0179,1598.726813
2010,017000,156116.9273,1829.006801
2011,017000,161231.0921,1969.84025
2012,017000,161556.5193,1959.385571
2013,017000,147599.0939,1961.796844
2014,017000,158821.9135,2000.0
2010,017101,171593.5759,1790.357807
2011,017101,197242.1649,1942.142834
2012,017101,189390.3682,2000.0
2013,017101,189749.7607,2000.0
2014,017101,184658.0776,1939.405441
2010,017102,158414.269,1957.457869
2011,017102,148258.7302,2000.0
2012,017102,162504.9223,2000.0
2013,017102,154990.393,2000.0
2014,017102,161038.3769,1950.692986
2010,017601,53136.68298,866.1921581
2011,017601,55229.75608,825.383007
2012,017601,57645.4256,810.2965658
2013,017601,67098.93959,785.1408562
2014,017601,68857.10227,757.2916483
2010,017700,103374.6914,1436.833186
2011,017700,121181.736,1669.600257
2012,017700,122369.8868,1618.435218
2013,017700,118753.6098,1699.027928
2014,017700,112624.0445,1584.360847
2010,017801,82250.74276,341.0205347
2011,017801,78204.20899,340.1242727
2012,017801,71563.96847,313.9764323
2013,017801,62416.58747,304.9807896
2014,017801,62328.79676,301.6852908
2010,017802,127670.131,1576.651605
2011,017802,123801.9116,1635.255461
2012,017802,109267.0353,1469.539178
2013,017802,118466.569,1584.000571
2014,017802,105258.4084,1116.440804
2010,017902,71939.41852,2000.0
2011,017902,64805.30686,1942.142834
2012,017902,71760.33861,1729.56777
2013,017902,60082.27084,1669.479616
2014,017902,56971.3175,1690.053313
2010,018000,147333.3751,2000.0
2011,018000,147269.3785,1762.663576
2012,018000,157124.1647,2000.0
2013,018000,149940.7976,2000.0
2014,018000,149911.936,2000.0
2010,020100,68257.53348,994.6432261
2011,020100,68908.95606,920.6621192
2012,020100,76723.53995,899.8499812
2013,020100,66333.84938,862.1775262
2014,020100,70793.42929,882.4807826
2010,020200,89381.48214,1304.971913
2011,020200,82503.9559,1400.38137
2012,020200,82848.77777,1431.77569
2013,020200,83805.34402,1406.710701
2014,020200,86969.50726,1443.779606
2010,020300,130087.9666,1860.835384
2011,020300,130686.3814,1843.540032
2012,020300,131892.7597,1826.673883
2013,020300,126073.1487,1854.156565
2014,020300,119164.6637,1745.464897
2010,020401,148644.0307,2000.0
2011,020401,155745.8958,2000.0
2012,020401,173843.6795,2000.0
2013,020401,168608.9989,2000.0
2014,020401,178053.8377,2000.0
2010,020402,131100.7976,1742.614932
2011,020402,122733.8992,1743.829333
2012,020402,117019.34,1819.121185
2013,020402,119480.7093,1784.506973
2014,020402,118542.8226,1891.17684
2010,020500,133700.5108,1581.198546
2011,020500,144212.6916,1799.224166
2012,020500,143995.4182,1751.146906
2013,020500,151084.7394,1802.447019
2014,020500,160811.5998,1756.752442
2010,020600,168702.8585,1838.100682
2011,020600,180794.3312,1845.755825
2012,020600,181918.5922,1837.463451
2013,020600,179814.1408,1845.71419
2014,020600,183387.7157,1813.190166
2010,020700,138796.4943,1696.008792
2011,020700,140773.7804,1600.910665
2012,020700,152143.7001,1766.252301
2013,020700,174404.6892,1933.303829
2014,020700,174334.0786,1828.582273
2010,020800,88189.047,1150.375937
2011,020800,91773.7272,1210.931042
2012,020800,92246.4916,1177.141882
2013,020800,100361.8963,1134.444113
2014,020800,103527.3095,1167.747826
2010,020900,80928.71982,1094.675916
2011,020900,87674.50958,1136.701967
2012,020900,87391.18595,1203.036845
2013,020900,90765.02674,1196.706628
2014,020900,80456.59386,1231.368534
2010,021000,135801.1973,1613.027129
2011,021000,136043.0617,1662.952877
2012,021000,128470.3087,1702.593849
2013,021000,150850.4635,1830.940034
2014,021000,151100.2066,1781.379812
2010,021100,191130.6423,1854.014973
2011,021100,196271.6475,1997.537667
2012,021100,173926.7591,2000.0
2013,021100,173207.9825,1928.027344
2014,021100,191498.3298,2000.0
2010,021200,204283.8044,1840.374152
2011,021200,201843.2597,1987.566597
2012,021200,176583.1508,1914.069385
2013,021200,156774.9,1988.179265
2014,021200,161515.5322,2000.0
2010,021300,198787.6901,1902.894583
2011,021300,201047.7899,1907.798038
2012,021300,185954.9697,1890.332335
2013,021300,180076.9097,1862.59894
2014,021300,202976.7368,1777.275251
2010,021400,144808.6864,1923.355816
2011,021400,163771.4991,1877.884828
2012,021400,173624.6512,1978.806793
2013,021400,178356.7759,1951.243875
2014,021400,176289.9023,2000.0
2010,021500,144554.0577,1847.194563
2011,021500,138288.7682,1816.950512
2012,021500,138013.6817,1881.70068
2013,021500,134729.7488,1693.751444
2014,021500,128720.0835,1526.896982
2010,021600,137903.0205,1702.829203
2011,021600,141149.3574,1813.626822
2012,021600,129797.4255,1881.70068
2013,021600,132585.3856,1935.414422
2014,021600,146701.1426,2000.0
2010,021700,140106.0132,1433.422981
2011,021700,144608.2107,1444.697236
2012,021700,129582.7131,1050.903935
2013,021700,124526.0836,1367.664717
2014,021700,133974.9488,1369.897494
2010,021800,150833.3825,2000.0
2011,021800,147359.1181,2000.0
2012,021800,157470.5098,2000.0
2013,021800,149994.6177,2000.0
2014,021800,158753.1621,2000.0
2010,022600,189615.3744,2000.0
2011,022600,190233.6107,2000.0
2012,022600,185356.1487,2000.0
2013,022600,188812.657,2000.0
2014,022600,206528.2089,2000.0
2010,022702,193031.2634,2000.0
2011,022702,210131.4346,2000.0
2012,022702,200422.7016,2000.0
2013,022702,202665.5388,2000.0
2014,022702,198760.3257,2000.0
2010,022704,185805.0383,2000.0
2011,022704,181383.7322,2000.0
2012,022704,187488.1673,2000.0
2013,022704,183531.9516,2000.0
2014,022704,193582.4211,2000.0
2010,022801,134991.8419,1534.592406
2011,022801,142245.0672,1609.773838
2012,022801,137055.568,1669.146188
2013,022801,133120.4211,1820.387066
2014,022801,134242.7714,1853.209643
2010,022802,116980.274,1401.594397
2011,022802,109888.9454,1369.360264
2012,022802,101943.0765,1306.616699
2013,022802,114992.5318,1331.784624
2014,022802,102604.8092,1273.440292
2010,022803,92219.90972,1594.839367
2011,022803,90659.18317,1658.521291
2012,022803,92634.91605,1559.092593
2013,022803,98516.18211,1620.935961
2014,022803,98110.31407,1479.694521
2010,022901,85953.08903,1428.87604
2011,022901,92034.08292,1486.797309
2012,022901,89421.78267,1625.987916
2013,022901,90841.00812,1663.147835
2014,022901,93525.51857,1585.386987
2010,022902,79230.43755,1599.386308
2011,022902,84853.8047,1614.205424
2012,022902,95716.41671,1540.750328
2013,022902,117149.5586,1503.798011
2014,022902,122142.5233,1508.426454
2010,022903,100504.4352,1570.96793
2011,022903,95003.24595,1736.074056
2012,022903,89436.88806,1731.725683
2013,022903,86151.26892,1754.958661
2014,022903,102157.412,1646.955414
2010,023001,66327.35726,1386.816841
2011,023001,71735.20043,1085.738721
2012,023001,69125.52608,1072.483071
2013,023001,69741.40291,1025.748538
2014,023001,74241.26119,1207.767304
2010,023003,101935.5848,1057.163657
2011,023003,105011.9843,1220.902112
2012,023003,108755.6098,1348.696015
2013,023003,112231.8753,1746.516286
2014,023003,103115.8272,1769.066127
2010,023102,59603.56905,803.6717267
2011,023102,55290.6904,631.5010926
2012,023102,49096.85077,597.7420739
2013,023102,56278.98099,729.2101231
2014,023102,53104.8203,725.4812945
2010,023103,32224.16706,469.4716027
2011,023103,34532.0308,475.2876644
2012,023103,34027.06098,471.5041269
2013,023103,29655.95207,456.9435359
2014,023103,28195.261,438.16197
2010,023200,66688.83902,1326.56988
2011,023200,65412.43423,1317.289121
2012,023200,60808.92697,1184.69458
2013,023200,66774.96346,1074.292193
2014,023200,60699.28574,1209.819584
2010,023300,104800.1572,1975.645631
2011,023300,105688.9092,1789.253096
2012,023300,100820.9614,1623.830002
2013,023300,89479.67518,1256.858548
2014,023300,88380.45038,909.1604342
2010,023400,65528.23247,802.5349916
2011,023400,60141.06195,767.772381
2012,023400,68579.57393,717.50628
2013,023400,63426.50656,776.6984814
2014,023400,61147.70911,690.5925194
2010,025100,125676.2976,2000.0
2011,025100,127486.7758,2000.0
2012,025100,121491.616,2000.0
2013,025100,120510.679,2000.0
2014,025100,138656.2015,1780.353672
2010,025200,147735.7793,1536.865876
2011,025200,152504.1902,1635.255461
2012,025200,149731.1526,1818.042228
2013,025200,163916.0938,1783.451676
2014,025200,155704.4988,1753.67402
2010,025300,126312.8693,1486.849531
2011,025300,135561.1266,1512.278932
2012,025300,132909.137,1588.224427
2013,025300,143022.2714,1514.350979
2014,025300,141776.6946,1619.249622
2010,025401,111878.6068,1743.751667
2011,025401,105118.3424,1618.637011
2012,025401,105150.8151,1412.354467
2013,025401,112092.5761,1444.701387
2014,025401,112759.4951,1247.786781
2010,025402,120315.4548,1437.969921
2011,025402,111387.9296,1554.379005
2012,025402,117258.8684,1513.776407
2013,025402,122161.1633,1548.120478
2014,025402,131104.8339,1447.884168
2010,025403,107910.2645,1124.231029
2011,025403,104612.0336,1156.644106
2012,025403,112564.3273,1441.486301
2013,025403,105698.5325,1455.254356
2014,025403,106154.229,1432.492061
2010,025500,120108.569,1465.251564
2011,025500,112465.913,1494.552586
2012,025500,114280.9476,1879.542767
2013,025500,116152.3031,1944.912094
2014,025500,117704.4659,1824.477711
2010,025600,89164.36573,2000.0
2011,025600,90404.36694,2000.0
2012,025600,93410.686,2000.0
2013,025600,90394.61755,2000.0
2014,025600,86099.34017,1266.257309
2010,025701,100678.3557,1824.45986
2011,025701,137436.7957,1648.550221
2012,025701,121845.5138,1756.54169
2013,025701,129794.1254,1543.899291
2014,025701,118375.5617,1481.746802
2010,025702,76828.51625,1701.692468
2011,025702,79801.79596,1490.120999
2012,025702,85990.7,1072.483071
2013,025702,79637.97676,1151.328863
2014,025702,84650.42986,1481.746802
2010,025800,81486.85676,1225.400455
2011,025800,74194.731,1162.18359
2012,025800,72394.76522,1095.141164
2013,025800,63641.78711,1108.061692
2014,025800,70791.37701,1178.009231
2010,025900,107719.293,2000.0
2011,025900,108365.5875,1982.027113
2012,025900,110427.9928,2000.0
2013,025900,105859.9929,1936.469719
2014,025900,100844.9784,1922.987194
2010,026001,98506.05491,1343.620907
2011,026001,102909.1965,1498.984172
2012,026001,100518.8535,1468.460221
2013,026001,87716.27415,1475.304996
2014,026001,83828.49136,1386.315741
2010,026002,84940.25804,1874.476206
2011,026002,92285.57546,1815.842615
2012,026002,86674.75862,1767.331258
2013,026002,89247.50987,1713.802084
2014,026002,92922.14798,1650.033835
2010,026003,95563.04769,1791.494542
2011,026003,83063.44371,1565.457972
2012,026003,82435.53731,1756.54169
2013,026003,82887.23576,1668.424319
2014,026003,80942.98443,1684.92261
2010,026004,99897.41869,1259.502508
2011,026004,95375.49922,1366.036574
2012,026004,92559.38908,1410.196553
2013,026004,85844.17753,1371.885905
2014,026004,89164.42168,1448.910308
2010,026100,99018.72245,1582.335281
2011,026100,91403.68972,1361.604987
2012,026100,87199.13163,1341.143317
2013,026100,85824.12689,1366.60942
2014,026100,82464.75071,1377.080477
2010,026200,105909.6107,1512.994439
2011,026200,104966.5606,1360.497091
2012,026200,100473.5373,1266.695297
2013,026200,102008.1594,1269.52211
2014,026200,95932.84405,1393.498724
2010,026301,90648.94179,1575.51487
2011,026301,89468.19427,1564.350075
2012,026301,84964.61208,1651.882879
2013,026301,75070.652,1516.461573
2014,026301,76808.66458,1429.41364
2010,026302,84157.04754,1611.890394
2011,026302,81598.80434,1577.644835
2012,026302,84073.39375,1508.381623
2013,026302,86720.07392,1492.189745
2014,026302,86828.92602,1524.844701
2010,026303,110162.1368,1407.278073
2011,026303,101341.5227,1450.23672
2012,026303,97892.6726,1176.062925
2013,026303,93332.56398,1401.434216
2014,026303,84427.75738,1553.576634
2010,026401,74017.37031,1189.024931
2011,026401,75582.92551,1145.56514
2012,026401,68668.04839,1194.405191
2013,026401,64703.41574,1201.983112
2014,026401,60042.55585,968.67658
2010,026402,90520.49072,1522.08832
2011,026402,91664.04543,1661.844981
2012,026402,91799.80348,1501.907882
2013,026402,89246.45458,1530.180432
2014,026402,94354.64005,1670.556644
2010,026403,66333.04093,1350.441317
2011,026403,61235.66384,1513.386829
2012,026403,60912.50682,1232.168679
2013,026403,55483.28717,1425.706044
2014,026403,59642.36108,1273.440292
2010,026404,64964.41185,819.5860183
2011,026404,62359.07105,873.0225631
2012,026404,58552.82827,932.2186856
2013,026404,63907.72192,670.1134995
2014,026404,65361.04178,1105.153259
2010,030101,147613.0119,1899.484378
